slide	project_path	cache_source	sha256	bytes	prompt_v8	status
slide-01	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-01.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0a2b35e439ccca4f016a46cbd848d0819194315405529f5d76.png	ed4155da0db5f0b53596166d7188a9389df7ba69a19e33bdbc72de4a73dc83f8	1104111	True	copied
slide-02	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-02.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0126b53019a2944c016a46cc9a0e608191aa20cdb959ddcf52.png	0eb7e514716c987f336fd750e69a4c6cf139d2698707cf3cea7df3db3c90adec	1075841	True	copied
slide-03	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-03.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0126b53019a2944c016a46ccc3494081918c9bad7e298e5d36.png	82561632ddefa9e806c65a14e5d6dda6a3e009d489b79e4003792a55f4c5fab3	1041187	True	copied
slide-04	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-04.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0126b53019a2944c016a46ccf49e38819184317b44779b57ea.png	93904f761fae3a61710fe1021499ab7405ac9e87ff99fc5ce0a5881a419fd2df	1039158	True	copied
slide-05	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-05.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0126b53019a2944c016a46cd22a9bc8191983b581d2114cd41.png	6643367b42d126115b1dcad66aab3c85484ac947704643c278bea9e7b0c54aef	1010011	True	copied
slide-06	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-06.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0126b53019a2944c016a46cd51cb708191a5b3bf738478e975.png	c57e485081617b98ff841d1230a2ec6493979034ab668404085867eef084daf1	992221	True	copied
slide-07	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-07.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46cd9ea5cc8191990102d4c2d77764.png	8e06230a5e99d91f32dba169ae4a7faa1a0115f88583669e12f23d736020baa7	968022	True	copied
slide-08	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-08.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46cdd48e5481918fe4b1377873c238.png	d3c729af0f3b5e7aabbbba1017d4ff79c3cc50e3bb2739584fe8ae7be75220a1	1027831	True	copied
slide-09	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-09.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46ce0935048191bf1e24fb46bf1838.png	f28d883a414c130f98e0206647c3668f34aee7fa2e32dd33a378627c91f67114	995578	True	copied
slide-10	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-10.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46ce3a6c848191b2c0e8173d41bcf8.png	63e4a73beb59296babf67e8032bd99732f6fff8b2d2d29169dad2ed15bafb857	1073503	True	copied
slide-11	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-11.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46ce7717c88191ab136bcc5237543c.png	0a4327fa5ac57c004086fd9548e528a7ab0cfb70aba406abb099d8a5b4a4dd22	1033773	True	copied
slide-12	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-12.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06abd8cb449f198a016a46ceac4d208191b0d07122df592bd4.png	27b3b1cc6cfb943a7f6426e34c22621518f354df375e13f93d24030ca88d8661	1058939	True	copied
slide-13	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-13.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06e4d54f460510a7016a46cf0d96e88191867848d72860467f.png	6f24ccba021202b79acb2432f88fe0f530e15d4ee83f2e36fe2edaf882b5df8b	1038530	True	copied
slide-14	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-14.png	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_06e4d54f460510a7016a46cf44f85081919ada638ef6016ef5.png	e802f013712bce544c642a8331f9f5f290b8a57f63ddddd00a2768550cd349b9	1173313	True	copied
