slide	call_id	cache_source	project_copy	status
slide-01	ig_0d78a622e15df705016a46a6035fd48191a14045c10f5a9185	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0d78a622e15df705016a46a6035fd48191a14045c10f5a9185.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-01.png	copied_imagegen_1672x941
slide-02	ig_0aefb0d0b9ddeb70016a46a6ab65048191ba6a3da758e73e28	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0aefb0d0b9ddeb70016a46a6ab65048191ba6a3da758e73e28.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-02.png	copied_imagegen_1672x941
slide-03	ig_0b3172bb7aa23dd4016a4582ee85748191ba19df51a8bb3e60	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0b3172bb7aa23dd4016a4582ee85748191ba19df51a8bb3e60.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-03.png	copied_imagegen_1672x941_renumbered_from_slide-01
slide-04	ig_0fb3c1c62ac4d8bb016a458378456c8191bffd962e57f419ea	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0fb3c1c62ac4d8bb016a458378456c8191bffd962e57f419ea.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-04.png	copied_imagegen_1672x941_renumbered_from_slide-02
slide-05	ig_09247a6fc8c18400016a4583c60a188191871600f201e0d8b6	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_09247a6fc8c18400016a4583c60a188191871600f201e0d8b6.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-05.png	copied_imagegen_1672x941_renumbered_from_slide-03
slide-06	ig_0bd88232cb42894c016a4584583be0819b99d7ac1e22b2731b	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0bd88232cb42894c016a4584583be0819b99d7ac1e22b2731b.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-06.png	copied_imagegen_1672x941_renumbered_from_slide-04
slide-07	ig_0e773339bb0bdc86016a4584a99d488191975ce61103049827	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0e773339bb0bdc86016a4584a99d488191975ce61103049827.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-07.png	copied_imagegen_1672x941_renumbered_from_slide-05
slide-08	ig_0fb0fcfc5356f16e016a458529c458819187b9c198b4e3ac4c	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0fb0fcfc5356f16e016a458529c458819187b9c198b4e3ac4c.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-08.png	copied_imagegen_1672x941_renumbered_from_slide-06
slide-09	ig_019279c279c66247016a458576f5488191819347b780913116	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_019279c279c66247016a458576f5488191819347b780913116.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-09.png	copied_imagegen_1672x941_renumbered_from_slide-07
slide-10	ig_092c6acf11ac09d5016a4585cace088191bebd2803306fa6a2	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_092c6acf11ac09d5016a4585cace088191bebd2803306fa6a2.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-10.png	copied_imagegen_1672x941_renumbered_from_slide-08
slide-11	ig_0ee19439ad15d75e016a458648614481919f8ca24e9d62689a	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0ee19439ad15d75e016a458648614481919f8ca24e9d62689a.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-11.png	copied_imagegen_1672x941_renumbered_from_slide-09
slide-12	ig_0aeba1b5295f60cd016a458b48a1bc819193da19c332ce3255	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0aeba1b5295f60cd016a458b48a1bc819193da19c332ce3255.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-12.png	copied_imagegen_1672x941_renumbered_from_slide-10
slide-13	ig_053350ab0631524c016a45879911c481918bfe62d5189ffad2	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_053350ab0631524c016a45879911c481918bfe62d5189ffad2.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-13.png	copied_imagegen_1672x941_renumbered_from_slide-11
slide-14	ig_086e46413bf42727016a4587fcaa3c8191a76aea14a22573c9	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_086e46413bf42727016a4587fcaa3c8191a76aea14a22573c9.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-14.png	copied_imagegen_1672x941_renumbered_from_slide-12
slide-15	ig_09c9fbabd8dfbf01016a458c4d4d1481918834abafba14341d	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_09c9fbabd8dfbf01016a458c4d4d1481918834abafba14341d.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-15.png	copied_imagegen_1672x941_renumbered_from_slide-13
slide-16	ig_0ec9a9849f86e683016a4595e3253481919d1f6a8b0e764677	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0ec9a9849f86e683016a4595e3253481919d1f6a8b0e764677.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-16.png	copied_imagegen_1672x941_renumbered_from_slide-14
slide-17	ig_05ab262d5afc5a76016a459653ec488191b3d4ede4e63e8065	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_05ab262d5afc5a76016a459653ec488191b3d4ede4e63e8065.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-17.png	copied_imagegen_1672x941_renumbered_from_slide-15
slide-18	ig_03ed1a7a5e2cfa21016a4596beaac88191be8e823e31f941ee	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_03ed1a7a5e2cfa21016a4596beaac88191be8e823e31f941ee.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-18.png	copied_imagegen_1672x941_renumbered_from_slide-16
slide-19	ig_053d781a35402e97016a45972fb248819188e46c0a23eb887c	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_053d781a35402e97016a45972fb248819188e46c0a23eb887c.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-19.png	copied_imagegen_1672x941_renumbered_from_slide-17
slide-20	ig_0c180543e19ac4ac016a458ea435008191a8e3633fa027c61b	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0c180543e19ac4ac016a458ea435008191a8e3633fa027c61b.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-20.png	copied_imagegen_1672x941_renumbered_from_slide-14
slide-21	ig_0972a4c355e69280016a4590a29f588191ba1dc26e263769cb	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0972a4c355e69280016a4590a29f588191ba1dc26e263769cb.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-21.png	copied_imagegen_1672x941_renumbered_from_slide-15
slide-22	ig_0ae701a401a5e993016a45923890108191b822910e11125e04	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0ae701a401a5e993016a45923890108191b822910e11125e04.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-22.png	copied_imagegen_1672x941_renumbered_from_slide-16
slide-23	ig_0aa655f7429ac804016a458f415dc081918b113924412fc62c	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0aa655f7429ac804016a458f415dc081918b113924412fc62c.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-23.png	copied_imagegen_1672x941_renumbered_from_slide-16
slide-24	ig_05ddd66b05073d9a016a45929e4fe88191ab6077f7bf04dcd7	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_05ddd66b05073d9a016a45929e4fe88191ab6077f7bf04dcd7.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-24.png	copied_imagegen_1672x941_renumbered_from_slide-18
slide-25	ig_04d2e25114c8bdb5016a458f942b588191be67c4d7bc02241f	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_04d2e25114c8bdb5016a458f942b588191be67c4d7bc02241f.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-25.png	copied_imagegen_1672x941_renumbered_from_slide-17
slide-26	ig_05512c6ce5dba370016a459a3c40a88191b31768cd69cbb5fa	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_05512c6ce5dba370016a459a3c40a88191b31768cd69cbb5fa.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-26.png	copied_imagegen_1672x941_renumbered_from_slide-24
slide-27	ig_05f9669d63c2411b016a459adc9b7c8191b12c727441a85895	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_05f9669d63c2411b016a459adc9b7c8191b12c727441a85895.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-27.png	copied_imagegen_1672x941_renumbered_from_slide-25
slide-28	ig_004ed93afc0495ed016a459b6bee608191b3b165e3e843ab70	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_004ed93afc0495ed016a459b6bee608191b3b165e3e843ab70.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-28.png	copied_imagegen_1672x941_renumbered_from_slide-26
slide-29	ig_0885c20a79fef550016a4608029f4481918619e21fb4098623	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0885c20a79fef550016a4608029f4481918619e21fb4098623.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-29.png	copied_imagegen_1672x941_renumbered_from_slide-27
slide-30	ig_036245cc7c3ac3bb016a46a79e2ab88191a1e18cadc3dcc1c6	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_036245cc7c3ac3bb016a46a79e2ab88191a1e18cadc3dcc1c6.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-30.png	copied_imagegen_1672x941
slide-31	ig_0067dcae2d57f414016a46a858bf38819aa9f6407f6254f8eb	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0067dcae2d57f414016a46a858bf38819aa9f6407f6254f8eb.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-31.png	copied_imagegen_1672x941
slide-32	ig_0975ea7a072548c9016a46a99c35ec81918fa4a3102220b7e3	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0975ea7a072548c9016a46a99c35ec81918fa4a3102220b7e3.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-32.png	copied_imagegen_1672x941
slide-33	ig_0bb36ae7b70bd4aa016a46aac81ccc8191af9840f99520fc3d	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0bb36ae7b70bd4aa016a46aac81ccc8191af9840f99520fc3d.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-33.png	copied_imagegen_1672x941
slide-34	ig_05a84b0d87b984ea016a46086edbac81919c6da66df9c5e1c9	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_05a84b0d87b984ea016a46086edbac81919c6da66df9c5e1c9.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-34.png	copied_imagegen_1672x941_renumbered_from_slide-28
slide-35	ig_0e92a9ee7fcb6892016a4608e244a081918b8a04a3101d1de8	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0e92a9ee7fcb6892016a4608e244a081918b8a04a3101d1de8.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-35.png	copied_imagegen_1672x941_renumbered_from_slide-29
slide-36	ig_0d2044b9f05d25c7016a4609aab6b48191988d83aaec1511e6	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_0d2044b9f05d25c7016a4609aab6b48191988d83aaec1511e6.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-36.png	copied_imagegen_1672x941_renumbered_from_slide-30
slide-37	ig_04d2ee0d88f8ffd9016a460a6fca388191a580c7576da1a66e	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_04d2ee0d88f8ffd9016a460a6fca388191a580c7576da1a66e.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-37.png	copied_imagegen_1672x941_renumbered_from_slide-31
slide-38	ig_044abe3cc534cc61016a46b1c5cca88191827216f37a596612	/Users/alex/.codex/generated_images/019f1f67-d3bb-79b1-8b3f-adbc956f3b59/ig_044abe3cc534cc61016a46b1c5cca88191827216f37a596612.png	/Users/alex/Documents/IA-SLIDE-DESK/emojis-accessibles-reseaux-sociaux/outputs/ia-slides/2026-07-02-emojis-accessibles-v7-38-slides/final/slide-38.png	copied_imagegen_1672x941_reused_old_layout_no_question_phrase
